55.789677%2C-4.038361
55.814468%2C-4.027158
55.972567%2C-3.773599
56.020308%2C-3.889884
56.022376%2C-3.880986
56.035485%2C-3.854942
56.095814%2C-3.811334
55.868766%2C-4.227063
55.860114%2C-4.27136
55.853983%2C-4.341929
57.003331%2C-3.313383
57.343826%2C-3.555789
55.917707%2C-3.197417
55.917707%2C-3.197417
55.632646%2C-4.640367
