50.94816%2C-1.386251
50.976949%2C-1.31129
50.979502%2C-1.32272
50.948612%2C-1.255658
50.947455%2C-1.269352
50.978184%2C-1.351156
50.993511%2C-1.359545
51.014635%2C-1.340669
51.006494%2C-1.283715
50.932523%2C-1.324498
50.883592%2C-1.315677
50.927082%2C-1.267804
51.041047%2C-1.336301
50.934185%2C-1.236612
51.041321%2C-1.326287
