stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
123801,"Pädagog. Hochschule",8.66996,49.41945,STATION,508643,8670518,49419591,Heidelberg,"Neuenheim Pädagogische Hochschule",BUS,43
262905,Waldpforte,8.49674,49.537981,STATION,510293,8496676,49537934,Mannheim,"Waldhof Waldpforte",BUS,7
262906,Waldpforte,8.496597,49.537902,STATION,510293,8496676,49537934,Mannheim,"Waldhof Waldpforte",BUS,7
209006,Marienkirche,8.431387,49.485506,STATION,518297,8431405,49485518,"Ludwigshafen am Rhein",Marienkirche,TRAM;BUS;ON_DEMAND,2
209005,Marienkirche,8.431398,49.485371,STATION,518297,8431405,49485518,"Ludwigshafen am Rhein",Marienkirche,TRAM;BUS;ON_DEMAND,16
209008,Marienkirche,8.4299,49.48507,STATION,511198,8430327,49485123,"Ludwigshafen am Rhein",Marienkirche,TRAM;BUS;ON_DEMAND,31
248605,"Neckarau Friedhof",8.501146,49.454845,STATION,508490,8501225,49454901,Mannheim,"Neckarau Friedhof",BUS,8
209007,Marienkirche,8.43043,49.485144,STATION,511198,8430327,49485123,"Ludwigshafen am Rhein",Marienkirche,TRAM;BUS;ON_DEMAND,8
129120,"Wieblingen Nord",8.64258,49.43227,STATION,510536,8642050,49432671,Heidelberg,"Wieblingen Nord",BUS,59
248606,"Neckarau Friedhof",8.50152,49.455054,STATION,508490,8501225,49454901,Mannheim,"Neckarau Friedhof",BUS,27
302612,Gerd-Dehof-Platz,8.510041,49.465625,STATION,507880,8509953,49465859,Mannheim,"Neuhermsheim Gerd-Dehof-Platz",TRAM;BUS,27
209002,Marienkirche,8.430418,49.485483,STATION,511197,8430731,49485303,"Ludwigshafen am Rhein",Marienkirche,TRAM;BUS;ON_DEMAND,30
209001,Marienkirche,8.430869,49.485254,STATION,518296,8430821,49485285,"Ludwigshafen am Rhein",Marienkirche,TRAM;BUS;ON_DEMAND,5
245101,Paradeplatz,8.466229,49.487676,STATION,518358,8466841,49487532,Mannheim,Paradeplatz,TRAM;BUS,47
302620,Gerd-Dehof-Platz,8.508166,49.465608,STATION,508668,8508515,49465625,Mannheim,"Neuhermsheim Gerd-Dehof-Platz",TRAM;BUS,25
120301,"S-Bf Kirchh./Rohrb.",8.675299,49.378775,STATION,506739,8675319,49378780,Heidelberg,"Kirchheim Rohrbach","REGIONAL_TRAIN;SUBURBAN_TRAIN;BUS",2
120302,"S-Bf Kirchh./Rohrb.",8.675207,49.378778,STATION,508089,8675238,49378753,Heidelberg,"Kirchheim Rohrbach","REGIONAL_TRAIN;SUBURBAN_TRAIN;BUS",4
120303,"S-Bf Kirchh./Rohrb.",8.677642,49.379202,STATION,509326,8677368,49377864,Heidelberg,"Rohrbach Erlenweg",BUS,150
258402,Schönauschule,8.474136,49.544235,STATION,518526,8474113,49543939,Mannheim,"Schönau Schönauschule",TRAM,33
258401,Schönauschule,8.47411,49.54364,STATION,518526,8474113,49543939,Mannheim,"Schönau Schönauschule",TRAM,33
134901,Schulbergweg,8.76347,49.41855,STATION,510820,8763233,49418585,Heidelberg,"Ziegelhausen Schulbergweg",BUS,18
134902,Schulbergweg,8.7636,49.41854,STATION,510820,8763233,49418585,Heidelberg,"Ziegelhausen Schulbergweg",BUS,27
302601,Gerd-Dehof-Platz,8.509829,49.466051,STATION,507880,8509953,49465859,Mannheim,"Neuhermsheim Gerd-Dehof-Platz",TRAM;BUS,23
302605,Gerd-Dehof-Platz,8.508456,49.465666,STATION,508668,8508515,49465625,Mannheim,"Neuhermsheim Gerd-Dehof-Platz",TRAM;BUS,6
144702,"Hilsenhain Ort",8.771466,49.512033,STATION,507116,8771602,49512010,Heiligkreuzsteinach,"Hilsenhain Ort",BUS,10
