sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Thread Group 5:BSF Sampler,100,17,12,26,3,256,0.0,0.6953764420368967,0.027842220823742936
Thread Group 5:Routing Request,100,5041,4818,9253,1163,10773,0.0,0.6915629322268326,113.72862503241701
Thread Group 10:BSF Sampler,200,9,8,13,3,86,0.0,0.7424125438023401,0.029725502242085883
Thread Group 10:Routing Request,200,11300,10946,15455,1320,27089,0.0,0.7234607468285289,122.71742835590831
Thread Group 20:BSF Sampler,400,7,6,11,2,53,0.0,0.6374501992031872,0.025522908366533866
Thread Group 20:Routing Request,400,28968,28894,36823,376,41566,0.0125,0.6308541291768458,98.99511775582317
Thread Group 40:BSF Sampler,120,21,5,68,3,118,0.0,0.9257544899092761,0.03706634188113313
Thread Group 40:Routing Request,120,50158,60121,64891,25590,65179,1.0,0.7715850929760038,0.9132432936395669
TOTAL,1640,12426,256,33547,2,65179,0.07621951219512195,1.345742611955118,92.98267124318308
