sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Thread Group 5:BSF Sampler,100,6,7,10,3,19,0.0,0.6824075337791728,0.027322957895455167
Thread Group 5:Routing Request,100,5209,4653,9779,1242,10551,0.0,0.6759725555142461,111.1632576701761
Thread Group 10:BSF Sampler,200,5,5,9,2,32,0.0,0.7653861755948964,0.030645344921280033
Thread Group 10:Routing Request,200,11254,11322,15726,1275,17640,0.0,0.7335734563780545,124.43265543504575
Thread Group 20:BSF Sampler,400,6,7,10,2,67,0.0,0.6072078609129673,0.024312033493585607
Thread Group 20:Routing Request,400,30903,31102,38897,2091,40929,0.0025,0.5998656300988578,95.03455015139109
Thread Group 40:BSF Sampler,600,8,5,14,2,84,0.0,0.623954226717928,0.024982542280698287
Thread Group 40:Routing Request,600,47963,46760,56273,23393,63975,0.0,0.5979990950280362,93.86694269412047
TOTAL,2600,16892,84,47791,2,63975,3.846153846153846E-4,1.239279635346734,99.12980534030024
